"","X12S","X16S","BDNF","CXCR4","cytb","H3A","NCX1","ND1","ND2","POMC","RAG1","RHOD","SIA","SLC8A3","TYR"
"136","DQ022313","DQ022348","","","","DQ284349","","","","","","DQ283983","","","DQ282979"
"137","DQ022315","DQ283367","","","KC152646","DQ284353","","","","","","DQ283988","DQ282834","",""
"138","DQ347010","FJ151076","EF396035","AY364182","NC_023382","DQ284335","AB612025","NC_023382","NC_023382","AB777223","EF396109","AY322215","AY844954","AY948874","AY844192"
"139","","","","","","","","","","","","","","",""
"140","U22075","DQ283226","","","","DQ284256","","","","","","DQ283903","","",""
"141","","","","","","","","","","","","","","",""
"142","","","","","","","","","","","","","","",""
"143","","JX996027","","","KC006028","","","","","","KC005992","","","",""
"144","","","","","","","","","","","","","","",""
"145","DQ283418","DQ283418","","","","","","","","","","","","","DQ283014"
"146","","","","","","","","","","","","","","",""
"147","","","","","","","","","","","","","","",""
"148","","AY702652","","","","","","","","","","","","",""
"149","","","","","","","","","","","","","","",""
"150","","","","","","","","","","","","","","",""
"151","","JQ715684","","","","","","","","","","","","",""
"152","","","","","","","","","","","","","","",""
"153","U22079","","","","","","","","","","","","","",""
"154","","","","","","","","","","","","","","",""
"155","","","","","","","","","","","","","","",""
"156","","","","","","","","","","","","","","",""
"157","","JX298073","","","KC006062","","","","","","","","","",""
"158","","","","","","","","","","","","","","",""
"159","","","","","","","","","","","","","","",""
"160","","","","","","","","","","","","","","",""
"161","","HQ130762","HQ130754","","KC006054","","","","","","","","","",""
"162","DQ347005","FJ151060","HQ130755","AY364181","KC006035","","AY523717","AY523772","","","AY364211","AY322214","","AY948872","AY322335"
"163","","","","","","","","","","","","","","",""
"164","","","","","","","","","","","","","","",""
"165","","","","","","","","","","","","","","",""
"166","","","","","","","","","","","","","","",""
"167","","HQ130757","","","","","","","","","","","","",""
"168","AF215230","AJ437013","","","AF215497","","","","","","","","","",""
"169","","","","","","","","","","","","","","",""
"170","AY341626","AY341692","EF396016","","AY341736","","","","","","AY571654","AY341811","","","AY341755"
"171","","","","","","","","","","","","","","",""
"172","","","","","","","","","","","","","","",""
"173","","","","","","","","","","","","","","",""
"174","","","","","","","","","","","","","","",""
"175","","","","","","","","","","","","","","",""
"176","AY603992","AY603992","","","","","","","","","","","","",""
"177","","","","","","","","","","","","","","",""
"178","","","","","","","","","","","","","","",""
"179","","","","","","","","","","","","","","",""
"180","","","","","","","","","","","","","","",""
"181","","","","","","","","","","","","","","",""
"182","","","","","","","","","","","","","","",""
"183","","","","","","","","","","","","","","",""
"184","","","","","","","","","","","","","","",""
"185","","","","","","","","","","","","","","",""
"186","DQ022312","DQ022347","","","JX564875","DQ284268","","JX564875","JX564875","","","","","",""
"187","","","","","","","","","","","","","","",""
"188","","","","","","","","","","","","","","",""
"189","","","","","","","","","","","","","","",""
"190","","","","","","","","","","","","","","",""
"191","","AY523779","","AY523698","DQ087512","","AY523730","AY523779","","","AY650146","","","EF107399",""
"192","X86225","DQ283116","EU275896","AY523695","AF277330","DQ284162","AY523731","AY523780","AJ871087","EU275850","AY323754","DQ347404","","AY948893",""
"193","","","","","","","","","","","","","","",""
"194","DQ864528","DQ864547","","","","","","","","","","","","",""
"195","","","","","","","","","","","","","","",""
"196","AY843571","AY843571","","","AY843793","","","","","","AY844368","AY844545","AY844773","","AY844027"
"197","","","","","","","","","","","","","","",""
"198","","","","","","","","","","","","","","",""
"199","","","","","","","","","","","","","","",""
"200","","","","","","","","","","","","","","",""
"201","DQ864529","DQ864548","","","","","","","","","","","","",""
"202","","","","","","","","","","","","","","",""
"203","AY843572","AY843572","","","AY843794","DQ284119","","JX204029","","","AY844369","AY844546","AY844774","","AY844028"
"204","","","","","","","","","","","","","","",""
"205","FJ882752","FJ882753","","","KC603962","","","","FJ882753","KC604075","","","","",""
"206","","","","","","","","","","","","","","",""
"207","JX204222","JX204222","","","","","","","","","","","","",""
"208","HM769265","HM769265","","HM769267","","","HM769271","","","","","","","HM769274",""
"209","HM769263","HM769263","","HM769266","HM778131","","HM769269","","","","","","","HM769272",""
"210","AY333663","DQ283250","","","EF212589","DQ284275","JF898445","JX893173","JX893173","","JF898464","DQ283920","","",""
"211","DQ925757","DQ925779","","","EU531279","","","NC_006402","NC_006402","","KC165589","","","",""
"212","DQ925745","DQ925766","","","EU531244","","","NC_021477","NC_021477","","","","","",""
"213","DQ925758","DQ925780","","","EU531274","","","JX893181","JX893181","","","","","",""
"214","DQ925756","DQ925778","","","EU531281","DQ284389","","NC_021476","NC_021476","","","DQ284017","DQ282865","",""
"215","DQ925753","DQ925775","EF453367","AY364177","EU531278","HM998943","JF898463","NC_006689","NC_006689","AY692246","AY323756","HM998984","","AY948867",""
"216","EU531353","AY500228","","","EU531283","","","","","","","","","",""
"217","AY333688","AY333725","","AY523693","EU531284","DQ284274","JF898461","NC_009258","NC_009258","","AY523750","DQ283919","","EF107347",""
"218","HQ435676","HQ435690","","","HQ435703","","","","","","HQ435718","","","","HQ435732"
"219","","","","","","","","","","","","","","",""
"220","HQ435677","HQ435691","","","HQ435704","","","","","","HQ435719","","","","HQ435733"
"221","","","","","","","","","","","","","","",""
"222","HQ435678","JX267467","","","HQ435705","","","","","","JX267544","","","","JX267681"
"223","AY326008","AY326008","","GQ345180","HM216363","GQ345212","GQ345228","GQ345243","","GQ345256","EU186761","DQ283806","DQ282672","GQ345326","DQ282919"
"224","HQ435681","HQ435695","","","HQ435708","","","","","","HQ435723","","","","HQ435737"
"225","","","","","","","","","","","","","","",""
"226","","","","","","","","","","","","","","",""
"227","HQ435682","","","","HQ435709","","","","","","HQ435724","","","","HQ435738"
"228","HQ435683","HQ435696","","","HQ435710","","","","","","HQ435725","","","","HQ435739"
"229","","","","","","","","","","","","","","",""
"230","HQ435684","HQ435697","","","HQ435711","","","","","","JX298187","","","","JX298238"
"231","HQ435685","HQ435698","","","HQ435712","","","","","","HQ435727","","","","HQ435741"
"232","HQ435686","HQ435699","","","HQ435713","","","","","","HQ435728","","","","HQ435742"
"233","HQ435687","HQ435700","","","HQ435714","","","","","","HQ435729","","","","HQ435743"
"234","","","","","","","","","","","","","","",""
"235","HQ435688","HQ435701","","","HQ435715","","","","","","HQ435730","","","","HQ435744"
"236","","","","","","","","","","","","","","",""
"237","HQ435689","HQ435702","","","HQ435716","","","","","","HQ435731","","","","HQ435745"
"238","JX267326","JX267472","","","","","","","","","JX267551","","","","JX267687"
"239","JX267327","JX267476","","","","","","","","","JX267557","","","","JX267692"
"240","","JX267493","","","","","","","","","JX267595","","","","JX267728"
"241","","","","","","","","","","","","","","",""
"242","JX267341","JX267341","","","","","","","","","JX267596","","","","JX267729"
"243","","","","","","","","","","","","","","",""
"244","","","","","","","","","","","","","","",""
"245","EF493533","EF493533","","GQ345181","GQ345196","","GQ345229","","","GQ345257","EF493407","","GQ345308","GQ345327","EF493510"
"246","","KC468529","","","","","","","","","KC468311","","","",""
"247","EF493359","EF493359","","","","","","","","","JX267615","","","","JX267751"
"248","EU186740","EU186722","","","","","","","","","JX267617","","","","JX267753"
"249","JX267307","JX267307","","","","","","","","","JX267619","","","","JX267755"
"250","DQ283093","DQ283093","","","","DQ284143","","","","","JX267625","DQ283809","","","DQ282920"
"251","","","","","","","","","","","","","","",""
"252","JX267308","JX267517","","","","","","","","","JX267631","","","","JX267769"
"253","","","","","","","","","","","","","","",""
"254","","JX267519","","","","","","","","","JX267634","","","","JX267771"
"255","","KC569986","","","","","","","","","","","","",""
"256","JX267311","JX267375","","","","","","","","","JX267637","","","","JX267775"
"257","","","","","","","","","","","","","","",""
"258","JX267334","JX267521","","","","","","","","","JX267639","","","","JX267813"
"259","JX267313","JX267313","","","","","","","","","JX267641","","","","JX267779"
"260","","","","","","","","","","","","","","",""
"261","EF493532","EF493532","","","HQ435717","","","GQ345244","","","EF493400","","","","EF493509"
"262","","","","","","","","","","","","","","",""
"263","","","","","","","","","","","","","","",""
"264","","","","","","","","","","","","","","",""
"265","JX267320","JX267531","","","","","","","","","JX267661","","","","JX267801"
"266","JX267407","JX267489","","","","","","","","","JX267583","","","","JX267717"
"267","","","","","","","","","","","","","","",""
"268","JX267321","JX267321","","","","","","","","","JX267667","","","","JX267807"
"269","JX267455","JX267537","","","","","","","","","JX267669","","","","JX267809"
"270","","JX267352","","","","","","","","","JX267672","","","","JX267812"
"271","FN810978","FN811024","","","FN811069","","","","","","","","","",""
"272","","","","","","","","","","","","","","",""
"273","NC_023379","NC_023379","","","NC_023379","","","AB777216","NC_023379","AB777220","","","","",""
"274","","","","","","","","","","","","","","",""
"275","","JQ965934","","","","","","","","","","","","",""
"276","AY787035","","","","","","","","","","","","","",""
"277","DQ019578","AF215365","EF395997","","","","","","","","EF396075","DQ019553","","","EF395962"
"278","","","","","","","","","","","","","","",""
"279","","HQ111346","","","","","","","","","","","","",""
"280","","","","","","","","","","","","","","",""
"281","","","","","","","","","","","","","","",""
"282","DQ283155","EF017947","KC180103","EF017965","FJ998375","DQ284397","EF018002","","","","EF396076","DQ284023","","EF107383","EF395963"
"283","","JQ965933","","","","","","","","","","","","",""
"284","","","","","","","","","","","","","","",""
"285","","","","","","","","","","","","","","",""
"286","","","","","","","","","","","","","","",""
"287","","","","","","","","","","","","","","",""
"288","","","","","","","","","","","","","","",""
"289","FJ998385","FJ998386","","","FJ998384","","","","","","","","","",""
"290","","","","","","","","","","","","","","",""
"291","FN810996","FN811041","","","","","","","","","","","","",""
"292","DQ283429","DQ283429","KC180213","","FJ998380","DQ284406","","","","","","","DQ282884","","DQ283021"
"293","DQ347056","AY326068","EF396000","EF017966","FJ998381","","EF018003","JX564855","JX564855","","EF396077","DQ347400","","EF107395","DQ347189"
"294","FN810993","FN811038","","","","","","","","","","","","",""
"295","","","","","","","","","","","","","","",""
"296","FN563066","FN563069","","","","","","","","","","","","",""
"297","FN563070","FN563071","","","FN563059","","","","","","","","","",""
"298","DQ438127","DQ438131","","","FN811129","","","","","","","","","",""
"299","FN811000","FN811045","","","FN811125","","","","","","","","","",""
"300","AY531875","DQ283420","KC180081","","FN563042","","","","","","","","DQ282877","","DQ283016"
"301","","","","","","","","","","","","","","",""
"302","FN811006","FN811051","","","FJ998377","","","","","","","","","",""
"303","AY531869","AY531845","","","FN811123","","","","","","","","","",""
"304","AY531862","EF107167","KC180093","EF107453","FJ998376","","EF107227","","","","EF107290","","","","KC180282"
"305","","","","","","","","","","","","","","",""
"306","","","","","","","","","","","","","","",""
"307","FJ882780","FJ882780","","EF107447","","","EF107221","FJ882780","FJ882780","","EF107284","","","EF107348",""
"308","","","","","","","","","","","","","","",""
"309","","","","","","","","","","","","","","",""
"310","JN867532","JN867563","","","JX298410","","","","","","JN867509","","","",""
"311","","","","","","","","","","","","","","",""
"312","AY843582","AY843582","","DQ306496","AY843804","DQ284096","","AY819462","","AY819081","DQ503337","AY844555","","","EF364362"
"313","","","","","","","","","","","","","","",""
"314","","","","","","","","","","","","","","",""
"315","","","","","","","","","","","","","","",""
"316","FJ882822","FJ882822","","DQ306514","","","EF107272","FJ882822","FJ882822","DQ158279","EF107331","DQ284021","DQ282873","EF107435","DQ283011"
"317","","","","","","","","","","","","","","",""
"318","DQ158439","DQ158439","","DQ306555","","DQ284345","","GU226836","GU226836","DQ158281","DQ158363","DQ283979","DQ282830","",""
"319","","HQ882843","","","","","","","","","","","","",""
"320","","","","","","","","","","","","","","",""
"321","","","","","","","","","","","","","","",""
"322","","","","","","","","","","","","","","",""
"323","","","","","","","","","","","","","","",""
"324","","","","","","","","","","","","","","",""
"325","","","","","","","","","","","","","","",""
"326","FJ882823","FJ882823","","DQ306547","","","FJ882668","FJ882823","FJ882823","DQ158294","DQ158375","","","",""
"327","FJ882824","DQ158456","","DQ306522","","","FJ882669","FJ882824","FJ882824","DQ158297","DQ158378","","","",""
"328","DQ158460","DQ158460","","FJ882725","","","FJ882670","FJ882851","","DQ158301","DQ158382","DQ284035","DQ282890","",""
"329","","","","","","","","","","","","","","",""
"330","","","","","","","","","","","","","","",""
"331","AY325995","AY325995","","DQ306560","L10975","","","GU226837","GU226837","DQ158305","","","","",""
"332","","","","","","","","","","","","","","",""
"333","DQ283343","AF220892","","","","DQ284332","","","","","","DQ283970","DQ282819","",""
"334","AF220847","AF220895","","","","","","","","","","","","",""
"335","DQ158469","DQ158469","","DQ306533","L10979","DQ284374","","","AF463782","DQ158310","DQ158389","DQ284005","DQ282850","",""
"336","FJ882826","AY680265","","FJ882727","","","FJ882672","FJ882826","FJ882826","","","","","",""
"337","AF220848","AF220896","","","AF210087","","","","GQ994953","","","","","",""
"338","AF220850","AF220897","","","AF210083","","","","","","","","","",""
"339","","","","","","","","","","","","","","",""
"340","FJ882771","AF220882","","FJ882722","","","","FJ882772","","DQ158324","DQ158401","","","",""
"341","AF220829","AF220874","","","","","","","AF463776","","","","","",""
"342","","","","","","","","","","","","","","",""
"343","DQ158485","DQ158485","","DQ306523","AY028511","DQ284201","","DQ629609","DQ629609","DQ158326","FJ227103","DQ283858","DQ282716","",""
"344","FJ882825","AY325981","","DQ306546","","","FJ882671","FJ882825","FJ882825","DQ158329","DQ158406","","","",""
"345","","","","","","","","","","","","","","",""
"346","","","","","","","","","","","","","","",""
"347","","","","","","","","","","","","","","",""
"348","DQ283362","DQ283362","","","","","","","","","","DQ283984","DQ282832","",""
"349","","","","","","","","","","","","","","",""
"350","","","","","","","","","","","","","","",""
"351","","","","","","","","","","","","","","",""
"352","","","","","","","","","","","","","","",""
"353","DQ158499","DQ158499","","DQ306561","","","","","AF463786","DQ158340","DQ158414","","","",""
"354","FJ882827","DQ158426","","DQ306520","AB159264","","FJ882676","FJ882827","FJ882827","DQ158268","DQ158352","FJ004273","","",""
"355","AY680207","AY680207","","","","","","","","","","","","",""
"356","DQ283180","FJ882830","","DQ306499","L10959","DQ284215","FJ882678","FJ882830","FJ882830","DQ158278","DQ158360","DQ283871","","",""
"357","FJ882828","FJ882828","","","","","","FJ882828","FJ882828","","","","","",""
"358","EF532005","AY680239","","","L10967","","","","","","","","","",""
"359","DQ158444","DQ158444","","DQ306498","L10968","DQ284197","","HM135383","","DQ158285","DQ158367","","DQ282713","",""
"360","","","","","","","","","","","","","","",""
"361","DQ158449","AY680233","","DQ306507","AY010165","","","","","DQ158290","DQ158371","","","",""
"362","AY325990","AY325990","","DQ306550","L10971","","","AF004524","AF004524","DQ158291","DQ158372","","","",""
"363","DQ158451","AY680224","","DQ306505","","","","AF462521","","DQ158292","DQ158373","EF372180","","",""
"364","EF532234","AY680213","","","","","","HM135376","","GQ443070","GQ443081","FJ004272","","",""
"365","EF532236","AY680208","","","","","","","","","","","","",""
"366","","","","","","","","","","","","","","",""
"367","","","","","","","","","","","","","","",""
"368","AY325989","AY325989","","DQ306563","L10978","","","AF462528","","DQ158318","DQ158395","","","",""
"369","EF532010","AY680240","","","JQ947894","","","","","JQ947857","","JQ947838","","",""
"370","EF532246","DQ283160","","","DQ085753","DQ284198","","","","JQ947873","","DQ283855","DQ282714","",""
"371","DQ158484","DQ158484","","DQ306549","","DQ284192","","","","DQ158325","DQ158403","","DQ282708","",""
"372","AY325982","AY325982","","","AY010166","","","","","","","","","",""
"373","EF532242","AY680229","","","L10980","","","","","","","","","",""
"374","FJ882829","FJ882829","","DQ306537","","DQ284196","FJ882677","FJ882829","FJ882829","DQ158330","","DQ283854","DQ282712","",""
"375","AY325986","AY325986","","DQ306551","AY288067","DQ284222","","AY226975","","DQ158339","DQ158413","DQ283875","DQ282733","",""
"376","","","","","","","","","","","","","","",""
"377","","","","","","","","","","","","","","",""
"378","","","","","","","","","","","","","","",""
"379","AB435304","AB435304","","","","","","","","","","","","",""
"380","","","","","","","","","","","","","","",""
"381","AB435257","AB435257","","","","","","","","","","","","",""
"382","AB331709","AB331709","","","","","","","","","","","","",""
"383","","","","","","","","","","","","","","",""
"384","AB435306","AB435306","","","","","","","","","","","","",""
"385","AB331710","FJ882794","","FJ882695","","","FJ882642","FJ882794","FJ882794","","","","","",""
"386","AB435253","AB435253","","","","","","","","","","","","",""
"387","","","","","","","","","","","","","","",""
"388","AB435252","AB435252","","","","","","","","","","","","",""
"389","AB746461","AB746461","","","","","","","","","","","","",""
"390","","","","","","","","","","","","","","",""
"391","AB435260","AB435260","","","","","","","","","","","","",""
"392","FJ882795","FJ882795","","FJ882697","","","FJ882644","FJ882795","FJ882795","","","","","",""
"393","FJ882796","FJ882796","","FJ882698","","","FJ882645","FJ882796","FJ882796","","","DQ283968","DQ282817","",""
"394","","","","","","","","","","","","","","",""
"395","AB331712","AB331712","","","","","","","","","","","","",""
"396","AB435316","JN314761","","","","","","JN314663","","","","","","",""
"397","AB435283","AB435283","","","","","","","","","","","","",""
"398","U52740","U52784","","","","","","JN314735","","","","","","",""
"399","AB435262","AB435262","","","","","","","","","","","","",""
"400","AB435272","AB435272","","","","","","","","","","","","",""
"401","AB435256","AB435256","","","","","","","","","","","","",""
"402","FJ882798","FJ882798","","FJ882696","","","FJ882643","FJ882798","FJ882798","","","","","",""
"403","JN664246","JN664251","","","","","","","","","","","","",""
"404","AB435258","AB435258","","","","","","","","","","","","",""
"405","AB435296","AB435296","","","","","","","","","","","","",""
"406","","","","","","","","","","","","","","",""
"407","","","","","","","","","","","","","","",""
"408","","","","","","","","","","","","","","",""
"409","","","","","","","","","","","","","","",""
"410","","","","","","","","","","","","","","",""
"411","","","","","","","","","","","","","","",""
"412","GU301892","GU183859","","GU183852","","","GU183854","GU183859","GU183859","","","","","",""
"413","AF375482","AF375508","","","AY995955","","","HM245280","DQ068446","","","","","",""
"414","","","","","","","","","","","","","","",""
"415","","","","","","","","","","","","","","",""
"416","","","","","","","","","","","","","","",""
"417","","","","","","","","","","","","","","",""
"418","","","","","","","","","","","","","","",""
"419","U52735","U52780","","","","","","","","","","","","",""
"420","","","","","","","","","","","","","","",""
"421","","","","","","","","","","","","","","",""
"422","","","","","","","","","","","","","","",""
"423","","","","","","","","","","","","","","",""
"424","","","","","","","","","","","","","","",""
"425","","","","","","","","","","","","","","",""
"426","","","","","","","","","","","","","","",""
"427","","","","","","","","","","","","","","",""
"428","","","","","","","","","","","","","","",""
"429","","","","","","","","","","","","","","",""
"430","","","","","","","","","","","","","","",""
"431","","","","","","","","","","","","","","",""
"432","","","","","","","","HM245282","","","","","","",""
"433","","","","","","","","","","","","","","",""
"434","","","","","","","","","","","","","","",""
"435","DQ283259","DQ283259","","","AY995960","DQ284282","","","DQ068435","","","DQ283928","DQ282780","","EF364359"
"436","","JQ742150","","","AY995991","","","","","","","","","",""
"437","","","","","","","","","","","","","","",""
"438","","","","","","","","","","","","","","",""
"439","","","","","","","","","","","","","","",""
"440","","","","","","","","","","","","","","",""
"441","","","","","","","","","","","","","","",""
"442","","AF375510","","","","","","HM245290","","","","","","",""
"443","GU301889","JQ742149","","","","","","","DQ068422","","","","","",""
"444","","","","","AY995950","","","HM245266","DQ068444","","","","","",""
"445","","","","","","","","","","","","","","",""
